,Zone26_Pressure__number_cwt_peaks__n_5,Zone4_Pressure__quantile__q_0.8,Zone7_Pressure__quantile__q_0.8,Zone31_Pressure__kurtosis,"Zone9_Pressure__fft_coefficient__coeff_31__attr_""imag""",Zone15_Pressure__kurtosis,Zone15_Pressure__quantile__q_0.7,Zone23_Pressure__skewness,"Zone17_Pressure__fft_coefficient__coeff_83__attr_""abs""","Zone9_Pressure__fft_coefficient__coeff_59__attr_""abs""",Zone10_Pressure__time_reversal_asymmetry_statistic__lag_1,Zone6_Pressure__number_peaks__n_5,"Zone6_Pressure__fft_aggregated__aggtype_""skew""","Zone14_Pressure__agg_linear_trend__f_agg_""mean""__chunk_len_50__attr_""stderr""","Zone10_Pressure__fft_coefficient__coeff_88__attr_""abs""","Zone31_Pressure__fft_coefficient__coeff_39__attr_""imag""",Zone24_Pressure__skewness,Zone17_Pressure__time_reversal_asymmetry_statistic__lag_1,"Zone31_Pressure__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4","Zone2_Pressure__augmented_dickey_fuller__attr_""teststat""","Zone31_Pressure__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0","Zone9_Pressure__fft_coefficient__coeff_30__attr_""imag""",target
97,20.0,88112.88,24891.36,5.807123685343606,479883.18472532893,2.4080612093319425,20673.549999999974,1.8898588797858191,184481.77677806612,220318.57013957485,1029508522976.615,5.0,1.941321052025724,492.9835065129505,161217.97350384927,405272.4483418547,4.490430961733045,1176737665647.9146,42363.47096042122,0.35987897328137525,49.640577181208045,423148.0411951335,1
98,21.0,81753.0,33133.62000000002,0.580115065739859,200314.14127575446,-0.06877433732326654,17474.57999999999,1.2042888249447643,110790.1724898608,76476.76107725286,69942064921.0734,4.0,2.442923893068353,892.0088281161792,101250.46259327373,57904.577329989406,2.5424360480180668,230512640818.41895,243728.50622759532,-1.3407660175268554,95.33616571428571,208927.92924547504,1
99,26.0,88268.6,31643.180000000004,0.6199767657954811,206264.06933268614,-0.21705526704350708,26310.319999999985,1.0832264403342522,100043.65182818248,198104.43967693535,274727012433.8422,6.0,2.6020597936386918,1007.9600179336817,59643.725300423095,136562.7123120704,3.5618710019475333,616883540540.8735,63829.75532413442,-1.0968835811558724,50.96324184782608,245295.13020120343,1
100,22.0,88382.6,21285.5,1.3013399395638512,235713.2911803281,0.1963689795243964,19037.1,1.2076273051672974,154612.63326245153,257133.06226692378,194266521768.49524,4.0,2.4761536473481733,1049.1083168902703,83510.30447535925,32791.99936791155,2.5167521073482275,526862805908.91205,114773.21925228304,-0.6131833822440049,72.08554452554746,286822.76640077523,0
101,24.0,82250.32,16870.360000000008,1.590383629732759,269890.0145374097,0.5153686369950159,15896.399999999998,1.2724494068537704,180680.9130321569,169105.77189881584,301939390552.9566,4.0,2.3000258543263854,1064.5453092534617,127170.47976332606,164030.82264845062,3.72097256011834,563991882932.5872,162642.29486346198,-0.8636368475833169,72.97747148817804,341198.48635301896,0
102,30.0,89526.54000000002,25306.58,3.5685715034088337,218859.4431590384,2.8607447716918255,26513.619999999995,1.7159978090419898,165445.68322949234,129098.78850547918,183095521834.71127,7.0,1.951758662881755,1109.1466663157898,159892.12318762258,-376592.4450275723,2.8404040398730044,721633696317.2183,331885.1380354979,-1.2134617495191984,89.65084913217625,204390.53978813786,0
103,30.0,40120.7,8223.38,1.0141822353751424,289751.79188816785,1.6004778726727045,10729.6,1.3331785425149745,184441.57812376678,139454.83612193694,275489725246.5081,2.0,1.90528737701696,358.39105705158994,138018.7419251191,239377.9104401459,2.886548504897609,730207778404.1909,24696.164519108417,1.3419343685984426,38.021585397653205,299504.0852283039,0
104,32.0,38595.98,10051.92,1.1769402471768862,299922.82613005344,1.7748425433387194,10635.079999999998,1.3581720363075047,160070.94916372126,150336.3246360794,261800820913.6508,2.0,1.8729957226502376,355.93542702062445,58688.645476649384,125278.35597562873,3.0835514652349865,714324798349.9668,23510.487308878008,1.4390768872804696,36.68778534031413,281501.20261320303,0
105,29.0,38678.080000000016,12719.240000000013,2.457411533255877,267395.3018154824,2.649046797184788,10617.86,1.776717258143471,161881.28371819048,104439.61908017503,280336813811.9249,3.0,1.8642209954357432,389.5787340779005,77310.12367985833,252706.4930110116,2.3690858193490585,619832152090.4191,32259.650642964414,2.0192797327280134,41.92592847682119,252431.43273538342,0
106,33.0,41455.74000000001,11851.060000000005,2.517361702995247,269279.97082892363,2.8211447260332765,10971.599999999997,1.7933954695823255,176668.97747649316,144545.40912741915,285509310353.2483,2.0,1.917549068119492,407.43610166561575,78147.72965876684,200979.48247456027,2.403774373518879,671275959253.7616,23917.6894340247,3.711643249367752,36.032380208333336,266783.2955707645,0
